Namespace(wandb=True, batch_size=2048, epochs=10000, learning_rate=1e-05, weight_decay=0.0001, validation_intervals=30, early_stop_patience=100, early_stop_delta=1e-06)
{'epochs': 10000, 'batch_size': 2048, 'validation_intervals': 30, 'learning_rate': 1e-05, 'early_stop_patience': 100, 'early_stop_delta': 1e-06, 'weight_decay': 0.0001}
Training on device cuda:0.
[Epoch   1] T_loss: 0.69403, T_accuracy: 47.2007 | V_loss: 0.69494, V_accuracy: 44.0000 | Early stopping is stated! | T_time: 00:00:00, T_speed: 0.000
[Epoch  30] T_loss: 0.69247, T_accuracy: 52.7439 | V_loss: 0.69282, V_accuracy: 55.0000 | V_loss decreased (0.69494 --> 0.69282). Saving model... | T_time: 00:00:00, T_speed: 0.000
[Epoch  60] T_loss: 0.69154, T_accuracy: 52.7993 | V_loss: 0.69186, V_accuracy: 56.0000 | V_loss decreased (0.69282 --> 0.69186). Saving model... | T_time: 00:00:01, T_speed: 60.000
[Epoch  90] T_loss: 0.69127, T_accuracy: 52.8825 | V_loss: 0.69217, V_accuracy: 53.0000 | Early stopping counter: 1 out of 100 | T_time: 00:00:02, T_speed: 45.000
[Epoch 120] T_loss: 0.69068, T_accuracy: 52.8271 | V_loss: 0.69346, V_accuracy: 47.0000 | Early stopping counter: 2 out of 100 | T_time: 00:00:03, T_speed: 40.000
[Epoch 150] T_loss: 0.69114, T_accuracy: 53.3259 | V_loss: 0.69503, V_accuracy: 44.0000 | Early stopping counter: 3 out of 100 | T_time: 00:00:04, T_speed: 37.500
[Epoch 180] T_loss: 0.69045, T_accuracy: 53.1874 | V_loss: 0.69660, V_accuracy: 44.0000 | Early stopping counter: 4 out of 100 | T_time: 00:00:05, T_speed: 36.000
[Epoch 210] T_loss: 0.69070, T_accuracy: 53.0211 | V_loss: 0.69760, V_accuracy: 44.0000 | Early stopping counter: 5 out of 100 | T_time: 00:00:06, T_speed: 35.000
[Epoch 240] T_loss: 0.69082, T_accuracy: 53.0765 | V_loss: 0.69796, V_accuracy: 44.0000 | Early stopping counter: 6 out of 100 | T_time: 00:00:07, T_speed: 34.286
[Epoch 270] T_loss: 0.69064, T_accuracy: 53.2428 | V_loss: 0.69831, V_accuracy: 44.0000 | Early stopping counter: 7 out of 100 | T_time: 00:00:08, T_speed: 33.750
[Epoch 300] T_loss: 0.69050, T_accuracy: 53.2428 | V_loss: 0.69835, V_accuracy: 44.0000 | Early stopping counter: 8 out of 100 | T_time: 00:00:09, T_speed: 33.333
[Epoch 330] T_loss: 0.69060, T_accuracy: 53.0765 | V_loss: 0.69836, V_accuracy: 44.0000 | Early stopping counter: 9 out of 100 | T_time: 00:00:10, T_speed: 33.000
[Epoch 360] T_loss: 0.69050, T_accuracy: 53.2428 | V_loss: 0.69841, V_accuracy: 44.0000 | Early stopping counter: 10 out of 100 | T_time: 00:00:11, T_speed: 32.727
[Epoch 390] T_loss: 0.69078, T_accuracy: 53.2428 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 11 out of 100 | T_time: 00:00:11, T_speed: 35.455
[Epoch 420] T_loss: 0.69046, T_accuracy: 53.2982 | V_loss: 0.69858, V_accuracy: 44.0000 | Early stopping counter: 12 out of 100 | T_time: 00:00:12, T_speed: 35.000
[Epoch 450] T_loss: 0.69080, T_accuracy: 53.2705 | V_loss: 0.69839, V_accuracy: 44.0000 | Early stopping counter: 13 out of 100 | T_time: 00:00:13, T_speed: 34.615
[Epoch 480] T_loss: 0.69054, T_accuracy: 53.1319 | V_loss: 0.69851, V_accuracy: 44.0000 | Early stopping counter: 14 out of 100 | T_time: 00:00:14, T_speed: 34.286
[Epoch 510] T_loss: 0.69047, T_accuracy: 53.0211 | V_loss: 0.69854, V_accuracy: 44.0000 | Early stopping counter: 15 out of 100 | T_time: 00:00:15, T_speed: 34.000
[Epoch 540] T_loss: 0.69060, T_accuracy: 53.2428 | V_loss: 0.69854, V_accuracy: 44.0000 | Early stopping counter: 16 out of 100 | T_time: 00:00:16, T_speed: 33.750
[Epoch 570] T_loss: 0.69051, T_accuracy: 53.2151 | V_loss: 0.69852, V_accuracy: 44.0000 | Early stopping counter: 17 out of 100 | T_time: 00:00:17, T_speed: 33.529
[Epoch 600] T_loss: 0.69043, T_accuracy: 53.3814 | V_loss: 0.69847, V_accuracy: 44.0000 | Early stopping counter: 18 out of 100 | T_time: 00:00:18, T_speed: 33.333
[Epoch 630] T_loss: 0.69066, T_accuracy: 53.4368 | V_loss: 0.69842, V_accuracy: 44.0000 | Early stopping counter: 19 out of 100 | T_time: 00:00:19, T_speed: 33.158
[Epoch 660] T_loss: 0.69057, T_accuracy: 53.2705 | V_loss: 0.69863, V_accuracy: 44.0000 | Early stopping counter: 20 out of 100 | T_time: 00:00:19, T_speed: 34.737
[Epoch 690] T_loss: 0.69037, T_accuracy: 53.3259 | V_loss: 0.69846, V_accuracy: 44.0000 | Early stopping counter: 21 out of 100 | T_time: 00:00:20, T_speed: 34.500
[Epoch 720] T_loss: 0.69061, T_accuracy: 53.3537 | V_loss: 0.69849, V_accuracy: 44.0000 | Early stopping counter: 22 out of 100 | T_time: 00:00:21, T_speed: 34.286
